side,stage,date,timepoint,genotype,Centroid_Y,Centroid_X,Seed_Number
25,16,04,scan,new,812.2556332556333,127.68881118881119,1
25,16,04,scan,new,791.5529538904899,402.72046109510086,2
25,16,04,scan,new,816.1544186046511,652.9241860465116,3
25,16,04,scan,new,805.8112449799197,890.1772088353414,4
25,16,04,scan,new,819.2228412256268,1133.392757660167,5
25,16,04,scan,new,826.3670212765958,1381.6077127659576,6
25,16,04,scan,new,1100.6786855317207,362.68324965769057,7
25,16,04,scan,new,1126.5362853628537,89.04674046740467,8
25,16,04,scan,new,1140.2812111157195,881.7258399004562,9
25,16,04,scan,new,1130.9083367897138,1155.1107424305267,10
25,16,04,scan,new,1159.19311827957,651.5836559139785,11
25,16,04,scan,new,1160.667551779076,1369.3058948486457,12
25,16,04,scan,new,1433.9460602855631,387.5854045478583,13
25,16,04,scan,new,1428.4426373626375,1094.668131868132,14
25,16,04,scan,new,1459.079550367488,642.7626459143969,15
25,16,04,scan,new,1450.6159502262444,1370.2279411764705,16
25,16,04,scan,new,1485.2153000458086,56.46999541914796,17
25,16,04,scan,new,1474.430057202288,862.4258970358815,18
